Year,Nominal Min Wage,Minimum Wage in 2012 Dollars,Yale(inflation not taken into account),Harvard(based on 2007),Public Education (2013),Private Education (2013),Interest rate
1976,$2.30,$9.10,4400,13836,"2,262","9,558",3.09
1977,$2.30,$8.54,4750,14394,"2,430","9,989",2.844
1978,$2.65,$9.14,5150,14644,"2,418","9,974",2.573
1979,$2.90,$8.97,5550,14835,"2,323","9,990",2.209
1980,$3.10,$8.46,6210,14594,"2,198","9,611",1.872
1981,$3.35,$8.29,7150,14594,"2,147","9,660",1.563
1982,$3.35,$7.82,8190,15271,"2,236","10,112",1.414
1983,$3.35,$7.59,9050,17040,"2,431","10,935",1.339
1984,$3.35,$7.34,9750,18219,"2,609","11,576",1.242
1985,$3.35,$7.09,10520,18958,"2,686","12,153",1.165
1986,$3.35,$6.98,11340,19782,"2,801","13,013",1.126
1987,$3.35,$6.74,12120,20150,"2,940","13,849",1.051
1988,$3.35,$6.48,12960,21254,"3,070","14,212",0.969
1989,$3.35,$6.18,14000,21575,"3,143","14,740",0.879
1990,$3.80,$6.66,15180,21880,"3,242","15,298",0.782
1991,$4.25,$7.16,16300,22146,"3,262","15,691",0.71
1992,$4.25,$6.96,17500,22622,"3,544","16,337",0.66
1993,$4.25,$6.77,18630,23454,"3,813","16,709",0.612
1994,$4.25,$6.60,19840,24187,"4,014","17,329",0.572
1995,$4.25,$6.42,21000,24187,"4,123","17,660",0.529
1996,$4.75,$6.97,22200,24975,"4,264","18,333",0.485
1997,$5.15,$7.39,23100,25629,"4,349","18,754",0.451
1998,$5.15,$7.30,23780,26126,"4,448","19,087",0.429
1999,$5.15,$7.14,24500,26612,"4,540","19,646",0.398
2000,$5.15,$6.90,25220,27447,"4,576","19,974",0.353
2001,$5.15,$6.72,26100,27325,"4,625","20,441",0.316
2002,$5.15,$6.62,27130,27463,"4,850","21,047",0.295
2003,$5.15,$6.48,28400,29373,"5,140","21,376",0.266
2004,$5.15,$6.31,29820,30127,"5,702","22,083",0.233
2005,$5.15,$6.10,31460,30525,"6,067","22,453",0.193
2006,$5.15,$5.91,33030,31137,"6,221","22,429",0.156
2007,$5.85,$6.53,34530,31456,"6,422","23,253",0.124
2008,$6.55,$7.02,35300,31778,"6,495","23,416",0.082
2009,$7.25,$7.82,36500,32566,"6,803","23,750",0.086
2010,$7.25,$7.67,38300,33260,"7,147","23,386",0.068
2011,$7.25,$7.40,40500,33465,"7,467","23,828",0.036
2012,$7.25,$7.25,42300,33934,"7,832","23,851",0.015
2013,$7.25,$7.25,44000,34615,"8,070","24,525",0